91.IV.2,collection,dc.coverage.temporal[],dc.date.issued,dc.description[en],dc.identifier.isbn[],dc.identifier.issn[],dc.identifier.other[],dc.identifier.uri,dc.language[],dc.title[en],dc.title[es],dc.title[fr],dc.title[ru],dcterms.publisher[en],undr.contributor.corporate[en],undr.contributor.corporate[es],undr.contributor.corporate[fr],undr.contributor.corporate[ru],undr.identifier.salesnumber[],undr.identifier.symbol[],
419681,11176/387434,1975-01-01 00:00:00,1977-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397860,English,"Antigua, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,,,,,,,E/NL.1977/63,
419680,11176/387434,1947-01-01 00:00:00,1949-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397859,English,"New Caledonia : Laws and regulations communicated in compliance with the terms of the Convention for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs of 13 July 1931, as amended by the Protocol of 11 December 1946",,,,,,,,,,E/NL.1949/29,
419679,11176/387434,1995-01-01 00:00:00,1997-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397858,English,Singapore : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1997/42-43,
419678,11176/387434,1960-01-01 00:00:00,1960-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397857,English,"Second United Nations Congress on the Prevention of Crime and the Treatment of Offenders, London, 8-19 August 1960 : report prepared by the Secretariat",,,,,United Nations Congress on the Prevention of Crime and the Treatment of Offenders (2nd : 1960 : London),,,,61. IV. 3,A/CONF.17/20,
419677,11176/387434,1951-01-01 00:00:00,1956-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397856,English,"Thailand : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1956/41,
419676,11176/387434,1954-01-01 00:00:00,1956-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397855,English,"French Overseas Territories, Togoland, Cameroons, communicated by the Government of France : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1956/143-144,
419675,11176/387434,1980-01-01 00:00:00,1981-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397854,French,,,Rapport de l'Organe international de contrôle des stupéfiants pour 1980 : demande et offre des opiacés pour les besoins médicaux et scientifiques,,,,,Organe international de contrôle des stupéfiants,,F.82.XI.4,E/INCB/52/Supp,
419674,11176/387434,1962-01-01 00:00:00,1963-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397853,French,,,"Turquie : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1963/32,
419673,11176/387434,1947-01-01 00:00:00,1948-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397852,English,"Sweden : Laws and regulations communicated in compliance with the terms of the Convention for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs of 13 July 1931, as amended by the Protocol of 11 December 1946",,,,,,,,,,E/NL.1948/31,
419672,11176/387434,1956-01-01 00:00:00,1957-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397851,French,,,"Danemark : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1957/55,
419671,11176/387434,1975-01-01 00:00:00,1976-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397850,English,Tonga : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1976/23,
419670,11176/387434,1994-01-01 00:00:00||1986-01-01 00:00:00,1996-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397849,English,Panama : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1996/1,
419669,11176/387434,1995-01-01 00:00:00||1993-01-01 00:00:00,1995-01-01 00:00:00,,,ISSN 1013-8250,,http://hdl.handle.net/11176/397848,French,,,"Supplément n° 5 à stupéfiants : évaluations des besoins du monde pour 1995, statistiques pour 1993, évaluations à jour au 30 mai 1995",,,International Narcotics Control Board,Junta Internacional de Fiscalización de Estupefacientes,Organe international de contrôle des stupéfiants,,,E/INCB/1994/2/Supp.5,
419668,11176/387434,1947-01-01 00:00:00,1948-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397847,English,"Sweden : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1948/30,
419667,11176/387434,1984-01-01 00:00:00,1984-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397846,English,Australia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1984/20-21,
419666,11176/387434,1950-01-01 00:00:00,1950-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397845,English,"Argentina : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1950/116-118,
419665,11176/387434,1916-01-01 00:00:00||1990-01-01 00:00:00,1992-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397844,English,Greece : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1992/14,
419664,11176/387434,1956-01-01 00:00:00,1959-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397843,English,"India : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1959/1-12,
419663,11176/387434,1955-01-01 00:00:00,1955-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397842,English,"India : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1955/92,
419662,11176/387434,1992-01-01 00:00:00,1997-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397841,English,"Hong Kong, communicated by the Hong Kong Government Secretariat : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances",,,,,,,,,,E/NL.1997/62,
419661,11176/387434,1988-01-01 00:00:00,1988-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397840,English,Malaysia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1988/31,
